t,x,xd,xdd,
0,0,0,0,
0,0,0.1,-0,
0.01,0.000999983,0.099995,-0.000999983,
0.02,0.00199987,0.09998,-0.00199987,
0.03,0.00299955,0.099955,-0.00299955,
0.04,0.00399893,0.09992,-0.00399893,
0.05,0.00499792,0.099875,-0.00499792,
0.06,0.0059964,0.0998201,-0.0059964,
0.07,0.00699428,0.0997551,-0.00699428,
0.08,0.00799147,0.0996802,-0.00799147,
0.09,0.00898785,0.0995953,-0.00898785,
0.1,0.00998334,0.0995004,-0.00998334,
0.11,0.0109778,0.0993956,-0.0109778,
0.12,0.0119712,0.0992809,-0.0119712,
0.13,0.0129634,0.0991562,-0.0129634,
0.14,0.0139543,0.0990216,-0.0139543,
0.15,0.0149438,0.0988771,-0.0149438,
0.16,0.0159318,0.0987227,-0.0159318,
0.17,0.0169182,0.0985585,-0.0169182,
0.18,0.017903,0.0983844,-0.017903,
0.19,0.0188859,0.0982004,-0.0188859,
0.2,0.0198669,0.0980067,-0.0198669,
0.21,0.020846,0.0978031,-0.020846,
0.22,0.021823,0.0975897,-0.021823,
0.23,0.0227978,0.0973666,-0.0227978,
0.24,0.0237703,0.0971338,-0.0237703,
0.25,0.0247404,0.0968912,-0.0247404,
0.26,0.0257081,0.096639,-0.0257081,
0.27,0.0266731,0.0963771,-0.0266731,
0.28,0.0276356,0.0961055,-0.0276356,
0.29,0.0285952,0.0958244,-0.0285952,
0.3,0.029552,0.0955336,-0.029552,
0.31,0.0305059,0.0952334,-0.0305059,
0.32,0.0314567,0.0949235,-0.0314567,
0.33,0.0324043,0.0946042,-0.0324043,
0.34,0.0333487,0.0942755,-0.0333487,
0.35,0.0342898,0.0939373,-0.0342898,
0.36,0.0352274,0.0935897,-0.0352274,
0.37,0.0361615,0.0932327,-0.0361615,
0.38,0.037092,0.0928665,-0.037092,
0.39,0.0380188,0.0924909,-0.0380188,
0.4,0.0389418,0.0921061,-0.0389418,
0.41,0.0398609,0.0917121,-0.0398609,
0.42,0.040776,0.0913089,-0.040776,
0.43,0.0416871,0.0908966,-0.0416871,
0.44,0.0425939,0.0904752,-0.0425939,
0.45,0.0434966,0.0900447,-0.0434966,
0.46,0.0443948,0.0896052,-0.0443948,
0.47,0.0452886,0.0891568,-0.0452886,
0.48,0.0461779,0.0886995,-0.0461779,
0.49,0.0470626,0.0882333,-0.0470626,
0.5,0.0479426,0.0877583,-0.0479426,
0.51,0.0488177,0.0872745,-0.0488177,
0.52,0.049688,0.0867819,-0.049688,
0.53,0.0505533,0.0862807,-0.0505533,
0.54,0.0514136,0.0857709,-0.0514136,
0.55,0.0522687,0.0852525,-0.0522687,
0.56,0.0531186,0.0847255,-0.0531186,
0.57,0.0539632,0.0841901,-0.0539632,
0.58,0.0548024,0.0836463,-0.0548024,
0.59,0.0556361,0.0830941,-0.0556361,
0.6,0.0564642,0.0825336,-0.0564642,
0.61,0.0572867,0.0819648,-0.0572867,
0.62,0.0581035,0.0813878,-0.0581035,
0.63,0.0589145,0.0808028,-0.0589145,
0.64,0.0597195,0.0802096,-0.0597195,
0.65,0.0605186,0.0796084,-0.0605186,
0.66,0.0613117,0.0789992,-0.0613117,
0.67,0.0620986,0.0783822,-0.0620986,
0.68,0.0628793,0.0777573,-0.0628793,
0.69,0.0636537,0.0771246,-0.0636537,
0.7,0.0644218,0.0764842,-0.0644218,
0.71,0.0651834,0.0758362,-0.0651834,
0.72,0.0659385,0.0751806,-0.0659385,
0.73,0.066687,0.0745174,-0.066687,
0.74,0.0674288,0.0738469,-0.0674288,
0.75,0.0681639,0.0731689,-0.0681639,
0.76,0.0688921,0.0724836,-0.0688921,
0.77,0.0696135,0.0717911,-0.0696135,
0.78,0.0703279,0.0710914,-0.0703279,
0.79,0.0710353,0.0703845,-0.0710353,
0.8,0.0717356,0.0696707,-0.0717356,
0.81,0.0724287,0.0689498,-0.0724287,
0.82,0.0731146,0.0682221,-0.0731146,
0.83,0.0737931,0.0674876,-0.0737931,
0.84,0.0744643,0.0667463,-0.0744643,
0.85,0.075128,0.0659983,-0.075128,
0.86,0.0757843,0.0652437,-0.0757843,
0.87,0.0764329,0.0644827,-0.0764329,
0.88,0.0770739,0.0637151,-0.0770739,
0.89,0.0777072,0.0629412,-0.0777072,
0.9,0.0783327,0.062161,-0.0783327,
0.91,0.0789504,0.0613746,-0.0789504,
0.92,0.0795602,0.060582,-0.0795602,
0.93,0.080162,0.0597834,-0.080162,
0.94,0.0807558,0.0589788,-0.0807558,
0.95,0.0813416,0.0581683,-0.0813416,
0.96,0.0819192,0.057352,-0.0819192,
0.97,0.0824886,0.05653,-0.0824886,
0.98,0.0830497,0.0557023,-0.0830497,
0.99,0.0836026,0.054869,-0.0836026,
1,0.0841471,0.0540302,-0.0841471,
1.01,0.0846832,0.0531861,-0.0846832,
1.02,0.0852108,0.0523366,-0.0852108,
1.03,0.0857299,0.0514819,-0.0857299,
1.04,0.0862404,0.050622,-0.0862404,
1.05,0.0867423,0.0497571,-0.0867423,
1.06,0.0872355,0.0488872,-0.0872355,
1.07,0.0877201,0.0480124,-0.0877201,
1.08,0.0881958,0.0471328,-0.0881958,
1.09,0.0886627,0.0462485,-0.0886627,
1.1,0.0891207,0.0453596,-0.0891207,
1.11,0.0895699,0.0444662,-0.0895699,
1.12,0.09001,0.0435682,-0.09001,
1.13,0.0904412,0.042666,-0.0904412,
1.14,0.0908633,0.0417595,-0.0908633,
1.15,0.0912764,0.0408487,-0.0912764,
1.16,0.0916803,0.039934,-0.0916803,
1.17,0.0920751,0.0390152,-0.0920751,
1.18,0.0924606,0.0380925,-0.0924606,
1.19,0.0928369,0.037166,-0.0928369,
1.2,0.0932039,0.0362358,-0.0932039,
1.21,0.0935616,0.0353019,-0.0935616,
1.22,0.0939099,0.0343646,-0.0939099,
1.23,0.0942489,0.0334238,-0.0942489,
1.24,0.0945784,0.0324796,-0.0945784,
1.25,0.0948985,0.0315322,-0.0948985,
1.26,0.095209,0.0305817,-0.095209,
1.27,0.0955101,0.0296281,-0.0955101,
1.28,0.0958016,0.0286715,-0.0958016,
1.29,0.0960835,0.0277121,-0.0960835,
1.3,0.0963558,0.0267499,-0.0963558,
1.31,0.0966185,0.025785,-0.0966185,
1.32,0.0968715,0.0248175,-0.0968715,
1.33,0.0971148,0.0238476,-0.0971148,
1.34,0.0973485,0.0228753,-0.0973485,
1.35,0.0975723,0.0219007,-0.0975723,
1.36,0.0977865,0.0209239,-0.0977865,
1.37,0.0979908,0.019945,-0.0979908,
1.38,0.0981854,0.0189641,-0.0981854,
1.39,0.0983701,0.0179813,-0.0983701,
1.4,0.098545,0.0169967,-0.098545,
1.41,0.09871,0.0160104,-0.09871,
1.42,0.0988652,0.0150225,-0.0988652,
1.43,0.0990105,0.0140332,-0.0990105,
1.44,0.0991458,0.0130424,-0.0991458,
1.45,0.0992713,0.0120503,-0.0992713,
1.46,0.0993868,0.011057,-0.0993868,
1.47,0.0994924,0.0100626,-0.0994924,
1.48,0.0995881,0.00906716,-0.0995881,
1.49,0.0996738,0.00807084,-0.0996738,
1.5,0.0997495,0.00707372,-0.0997495,
1.51,0.0998152,0.00607589,-0.0998152,
1.52,0.099871,0.00507745,-0.099871,
1.53,0.0999168,0.0040785,-0.0999168,
1.54,0.0999526,0.00307915,-0.0999526,
1.55,0.0999784,0.00207948,-0.0999784,
1.56,0.0999942,0.00107961,-0.0999942,
1.57,0.1,7.96327e-05,-0.1,
1.58,0.0999958,-0.000920354,-0.0999958,
1.59,0.0999816,-0.00192025,-0.0999816,
1.6,0.0999574,-0.00291995,-0.0999574,
1.61,0.0999232,-0.00391936,-0.0999232,
1.62,0.099879,-0.00491838,-0.099879,
1.63,0.0998248,-0.00591691,-0.0998248,
1.64,0.0997606,-0.00691484,-0.0997606,
1.65,0.0996865,-0.00791209,-0.0996865,
1.66,0.0996024,-0.00890854,-0.0996024,
1.67,0.0995083,-0.0099041,-0.0995083,
1.68,0.0994043,-0.0108987,-0.0994043,
1.69,0.0992904,-0.0118922,-0.0992904,
1.7,0.0991665,-0.0128844,-0.0991665,
1.71,0.0990327,-0.0138755,-0.0990327,
1.72,0.098889,-0.0148651,-0.098889,
1.73,0.0987354,-0.0158532,-0.0987354,
1.74,0.0985719,-0.0168397,-0.0985719,
1.75,0.0983986,-0.0178246,-0.0983986,
1.76,0.0982154,-0.0188077,-0.0982154,
1.77,0.0980224,-0.0197889,-0.0980224,
1.78,0.0978197,-0.0207681,-0.0978197,
1.79,0.0976071,-0.0217452,-0.0976071,
1.8,0.0973848,-0.0227202,-0.0973848,
1.81,0.0971527,-0.0236929,-0.0971527,
1.82,0.0969109,-0.0246632,-0.0969109,
1.83,0.0966594,-0.0256311,-0.0966594,
1.84,0.0963983,-0.0265964,-0.0963983,
1.85,0.0961275,-0.027559,-0.0961275,
1.86,0.0958471,-0.0285189,-0.0958471,
1.87,0.0955572,-0.0294759,-0.0955572,
1.88,0.0952576,-0.03043,-0.0952576,
1.89,0.0949486,-0.0313811,-0.0949486,
1.9,0.09463,-0.032329,-0.09463,
1.91,0.094302,-0.0332736,-0.094302,
1.92,0.0939645,-0.034215,-0.0939645,
1.93,0.0936177,-0.0351529,-0.0936177,
1.94,0.0932615,-0.0360873,-0.0932615,
1.95,0.092896,-0.0370181,-0.092896,
1.96,0.0925212,-0.0379452,-0.0925212,
1.97,0.0921371,-0.0388685,-0.0921371,
1.98,0.0917438,-0.0397879,-0.0917438,
1.99,0.0913413,-0.0407033,-0.0913413,
2,0.0909297,-0.0416147,-0.0909297,
2.01,0.0905091,-0.0425219,-0.0905091,
2.02,0.0900793,-0.0434248,-0.0900793,
2.03,0.0896406,-0.0443234,-0.0896406,
2.04,0.0891929,-0.0452176,-0.0891929,
2.05,0.0887362,-0.0461073,-0.0887362,
2.06,0.0882707,-0.0469923,-0.0882707,
2.07,0.0877964,-0.0478727,-0.0877964,
2.08,0.0873133,-0.0487482,-0.0873133,
2.09,0.0868215,-0.0496189,-0.0868215,
2.1,0.0863209,-0.0504846,-0.0863209,
2.11,0.0858118,-0.0513453,-0.0858118,
2.12,0.085294,-0.0522008,-0.085294,
2.13,0.0847678,-0.0530511,-0.0847678,
2.14,0.084233,-0.0538961,-0.084233,
2.15,0.0836899,-0.0547358,-0.0836899,
2.16,0.0831383,-0.0555699,-0.0831383,
2.17,0.0825785,-0.0563985,-0.0825785,
2.18,0.0820104,-0.0572215,-0.0820104,
2.19,0.0814341,-0.0580387,-0.0814341,
2.2,0.0808496,-0.0588501,-0.0808496,
2.21,0.0802571,-0.0596557,-0.0802571,
2.22,0.0796565,-0.0604552,-0.0796565,
2.23,0.079048,-0.0612488,-0.079048,
2.24,0.0784316,-0.0620362,-0.0784316,
2.25,0.0778073,-0.0628174,-0.0778073,
2.26,0.0771753,-0.0635923,-0.0771753,
2.27,0.0765355,-0.0643608,-0.0765355,
2.28,0.0758881,-0.065123,-0.0758881,
2.29,0.0752331,-0.0658786,-0.0752331,
2.3,0.0745705,-0.0666276,-0.0745705,
2.31,0.0739005,-0.06737,-0.0739005,
2.32,0.0732231,-0.0681056,-0.0732231,
2.33,0.0725384,-0.0688344,-0.0725384,
2.34,0.0718465,-0.0695563,-0.0718465,
2.35,0.0711473,-0.0702713,-0.0711473,
2.36,0.0704411,-0.0709793,-0.0704411,
2.37,0.0697278,-0.0716801,-0.0697278,
2.38,0.0690075,-0.0723738,-0.0690075,
2.39,0.0682803,-0.0730602,-0.0682803,
2.4,0.0675463,-0.0737394,-0.0675463,
2.41,0.0668056,-0.0744111,-0.0668056,
2.42,0.0660581,-0.0750755,-0.0660581,
2.43,0.0653041,-0.0757323,-0.0653041,
2.44,0.0645435,-0.0763815,-0.0645435,
2.45,0.0637765,-0.0770231,-0.0637765,
2.46,0.0630031,-0.077657,-0.0630031,
2.47,0.0622234,-0.0782832,-0.0622234,
2.48,0.0614374,-0.0789015,-0.0614374,
2.49,0.0606454,-0.0795119,-0.0606454,
2.5,0.0598472,-0.0801144,-0.0598472,
2.51,0.0590431,-0.0807088,-0.0590431,
2.52,0.0582331,-0.0812952,-0.0582331,
2.53,0.0574172,-0.0818735,-0.0574172,
2.54,0.0565956,-0.0824435,-0.0565956,
2.55,0.0557684,-0.0830054,-0.0557684,
2.56,0.0549355,-0.0835589,-0.0549355,
2.57,0.0540972,-0.084104,-0.0540972,
2.58,0.0532535,-0.0846408,-0.0532535,
2.59,0.0524044,-0.0851691,-0.0524044,
2.6,0.0515501,-0.0856889,-0.0515501,
2.61,0.0506907,-0.0862001,-0.0506907,
2.62,0.0498262,-0.0867027,-0.0498262,
2.63,0.0489567,-0.0871966,-0.0489567,
2.64,0.0480823,-0.0876818,-0.0480823,
2.65,0.0472031,-0.0881582,-0.0472031,
2.66,0.0463191,-0.0886258,-0.0463191,
2.67,0.0454306,-0.0890846,-0.0454306,
2.68,0.0445375,-0.0895344,-0.0445375,
2.69,0.0436399,-0.0899753,-0.0436399,
2.7,0.042738,-0.0904072,-0.042738,
2.71,0.0418318,-0.0908301,-0.0418318,
2.72,0.0409214,-0.0912438,-0.0409214,
2.73,0.0400069,-0.0916485,-0.0400069,
2.74,0.0390885,-0.092044,-0.0390885,
2.75,0.0381661,-0.0924302,-0.0381661,
2.76,0.0372399,-0.0928073,-0.0372399,
2.77,0.03631,-0.093175,-0.03631,
2.78,0.0353764,-0.0935335,-0.0353764,
2.79,0.0344393,-0.0938825,-0.0344393,
2.8,0.0334988,-0.0942222,-0.0334988,
2.81,0.0325549,-0.0945525,-0.0325549,
2.82,0.0316078,-0.0948733,-0.0316078,
2.83,0.0306575,-0.0951847,-0.0306575,
2.84,0.0297041,-0.0954865,-0.0297041,
2.85,0.0287478,-0.0957787,-0.0287478,
2.86,0.0277886,-0.0960614,-0.0277886,
2.87,0.0268266,-0.0963345,-0.0268266,
2.88,0.0258619,-0.0965979,-0.0258619,
2.89,0.0248947,-0.0968517,-0.0248947,
2.9,0.0239249,-0.0970958,-0.0239249,
2.91,0.0229528,-0.0973302,-0.0229528,
2.92,0.0219784,-0.0975549,-0.0219784,
2.93,0.0210017,-0.0977698,-0.0210017,
2.94,0.020023,-0.0979749,-0.020023,
2.95,0.0190423,-0.0981702,-0.0190423,
2.96,0.0180596,-0.0983557,-0.0180596,
2.97,0.0170752,-0.0985314,-0.0170752,
2.98,0.016089,-0.0986972,-0.016089,
2.99,0.0151013,-0.0988532,-0.0151013,
3,0.014112,-0.0989992,-0.014112,
3.01,0.0131213,-0.0991354,-0.0131213,
3.02,0.0121293,-0.0992617,-0.0121293,
3.03,0.0111361,-0.099378,-0.0111361,
3.04,0.0101418,-0.0994844,-0.0101418,
3.05,0.00914646,-0.0995808,-0.00914646,
3.06,0.00815022,-0.0996673,-0.00815022,
3.07,0.00715315,-0.0997438,-0.00715315,
3.08,0.00615537,-0.0998104,-0.00615537,
3.09,0.00515698,-0.0998669,-0.00515698,
3.1,0.00415807,-0.0999135,-0.00415807,
3.11,0.00315874,-0.0999501,-0.00315874,
3.12,0.0021591,-0.0999767,-0.0021591,
3.13,0.00115924,-0.0999933,-0.00115924,
3.14,0.000159265,-0.0999999,-0.000159265,
3.15,-0.000840725,-0.0999965,0.000840725,
3.16,-0.00184063,-0.0999831,0.00184063,
3.17,-0.00284035,-0.0999597,0.00284035,
3.18,-0.00383979,-0.0999263,0.00383979,
3.19,-0.00483884,-0.0998829,0.00483884,
3.2,-0.00583741,-0.0998295,0.00583741,
3.21,-0.0068354,-0.0997661,0.0068354,
3.22,-0.0078327,-0.0996928,0.0078327,
3.23,-0.00882922,-0.0996095,0.00882922,
3.24,-0.00982486,-0.0995162,0.00982486,
3.25,-0.0108195,-0.099413,0.0108195,
3.26,-0.0118131,-0.0992998,0.0118131,
3.27,-0.0128055,-0.0991767,0.0128055,
3.28,-0.0137966,-0.0990437,0.0137966,
3.29,-0.0147863,-0.0989008,0.0147863,
3.3,-0.0157746,-0.098748,0.0157746,
3.31,-0.0167612,-0.0985853,0.0167612,
3.32,-0.0177462,-0.0984128,0.0177462,
3.33,-0.0187295,-0.0982304,0.0187295,
3.34,-0.0197108,-0.0980382,0.0197108,
3.35,-0.0206902,-0.0978362,0.0206902,
3.36,-0.0216675,-0.0976244,0.0216675,
3.37,-0.0226427,-0.0974028,0.0226427,
3.38,-0.0236155,-0.0971715,0.0236155,
3.39,-0.0245861,-0.0969305,0.0245861,
3.4,-0.0255541,-0.0966798,0.0255541,
3.41,-0.0265196,-0.0964194,0.0265196,
3.42,-0.0274825,-0.0961494,0.0274825,
3.43,-0.0284426,-0.0958698,0.0284426,
3.44,-0.0293998,-0.0955806,0.0293998,
3.45,-0.0303542,-0.0952818,0.0303542,
3.46,-0.0313054,-0.0949735,0.0313054,
3.47,-0.0322536,-0.0946557,0.0322536,
3.48,-0.0331985,-0.0943285,0.0331985,
3.49,-0.0341401,-0.0939918,0.0341401,
3.5,-0.0350783,-0.0936457,0.0350783,
3.51,-0.036013,-0.0932902,0.036013,
3.52,-0.0369441,-0.0929254,0.0369441,
3.53,-0.0378715,-0.0925513,0.0378715,
3.54,-0.0387951,-0.092168,0.0387951,
3.55,-0.0397148,-0.0917755,0.0397148,
3.56,-0.0406306,-0.0913737,0.0406306,
3.57,-0.0415423,-0.0909629,0.0415423,
3.58,-0.0424498,-0.0905429,0.0424498,
3.59,-0.0433531,-0.0901139,0.0433531,
3.6,-0.044252,-0.0896758,0.044252,
3.61,-0.0451466,-0.0892288,0.0451466,
3.62,-0.0460366,-0.0887729,0.0460366,
3.63,-0.046922,-0.0883081,0.046922,
3.64,-0.0478027,-0.0878345,0.0478027,
3.65,-0.0486787,-0.0873521,0.0486787,
3.66,-0.0495497,-0.0868609,0.0495497,
3.67,-0.0504159,-0.0863611,0.0504159,
3.68,-0.0512769,-0.0858526,0.0512769,
3.69,-0.0521329,-0.0853356,0.0521329,
3.7,-0.0529836,-0.08481,0.0529836,
3.71,-0.0538291,-0.0842759,0.0538291,
3.72,-0.0546691,-0.0837334,0.0546691,
3.73,-0.0555037,-0.0831826,0.0555037,
3.74,-0.0563327,-0.0826234,0.0563327,
3.75,-0.0571561,-0.0820559,0.0571561,
3.76,-0.0579738,-0.0814803,0.0579738,
3.77,-0.0587857,-0.0808965,0.0587857,
3.78,-0.0595917,-0.0803046,0.0595917,
3.79,-0.0603918,-0.0797047,0.0603918,
3.8,-0.0611858,-0.0790968,0.0611858,
3.81,-0.0619737,-0.078481,0.0619737,
3.82,-0.0627554,-0.0778573,0.0627554,
3.83,-0.0635308,-0.0772259,0.0635308,
3.84,-0.0642999,-0.0765867,0.0642999,
3.85,-0.0650625,-0.0759399,0.0650625,
3.86,-0.0658186,-0.0752855,0.0658186,
3.87,-0.0665682,-0.0746236,0.0665682,
3.88,-0.0673111,-0.0739542,0.0673111,
3.89,-0.0680473,-0.0732774,0.0680473,
3.9,-0.0687766,-0.0725932,0.0687766,
3.91,-0.0694991,-0.0719018,0.0694991,
3.92,-0.0702146,-0.0712033,0.0702146,
3.93,-0.0709231,-0.0704976,0.0709231,
3.94,-0.0716246,-0.0697848,0.0716246,
3.95,-0.0723188,-0.0690651,0.0723188,
3.96,-0.0730058,-0.0683385,0.0730058,
3.97,-0.0736856,-0.067605,0.0736856,
3.98,-0.0743579,-0.0668648,0.0743579,
3.99,-0.0750228,-0.0661179,0.0750228,
4,-0.0756802,-0.0653644,0.0756802,
4.01,-0.0763301,-0.0646043,0.0763301,
4.02,-0.0769723,-0.0638378,0.0769723,
4.03,-0.0776068,-0.0630649,0.0776068,
4.04,-0.0782336,-0.0622857,0.0782336,
4.05,-0.0788525,-0.0615002,0.0788525,
4.06,-0.0794636,-0.0607087,0.0794636,
4.07,-0.0800667,-0.059911,0.0800667,
4.08,-0.0806618,-0.0591073,0.0806618,
4.09,-0.0812488,-0.0582978,0.0812488,
4.1,-0.0818277,-0.0574824,0.0818277,
4.11,-0.0823984,-0.0566613,0.0823984,
4.12,-0.0829609,-0.0558345,0.0829609,
4.13,-0.0835151,-0.0550021,0.0835151,
4.14,-0.0840609,-0.0541642,0.0840609,
4.15,-0.0845984,-0.0533209,0.0845984,
4.16,-0.0851273,-0.0524722,0.0851273,
4.17,-0.0856478,-0.0516184,0.0856478,
4.18,-0.0861597,-0.0507593,0.0861597,
4.19,-0.086663,-0.0498952,0.086663,
4.2,-0.0871576,-0.0490261,0.0871576,
4.21,-0.0876435,-0.0481521,0.0876435,
4.22,-0.0881206,-0.0472732,0.0881206,
4.23,-0.0885889,-0.0463897,0.0885889,
4.24,-0.0890484,-0.0455015,0.0890484,
4.25,-0.0894989,-0.0446087,0.0894989,
4.26,-0.0899405,-0.0437115,0.0899405,
4.27,-0.0903732,-0.04281,0.0903732,
4.28,-0.0907967,-0.0419041,0.0907967,
4.29,-0.0912112,-0.0409941,0.0912112,
4.3,-0.0916166,-0.0400799,0.0916166,
4.31,-0.0920128,-0.0391618,0.0920128,
4.32,-0.0923998,-0.0382397,0.0923998,
4.33,-0.0927776,-0.0373138,0.0927776,
4.34,-0.0931461,-0.0363842,0.0931461,
4.35,-0.0935053,-0.0354509,0.0935053,
4.36,-0.0938551,-0.0345141,0.0938551,
4.37,-0.0941955,-0.0335738,0.0941955,
4.38,-0.0945266,-0.0326302,0.0945266,
4.39,-0.0948481,-0.0316833,0.0948481,
4.4,-0.0951602,-0.0307333,0.0951602,
4.41,-0.0954628,-0.0297802,0.0954628,
4.42,-0.0957558,-0.0288241,0.0957558,
4.43,-0.0960392,-0.0278651,0.0960392,
4.44,-0.0963131,-0.0269033,0.0963131,
4.45,-0.0965773,-0.0259389,0.0965773,
4.46,-0.0968319,-0.0249718,0.0968319,
4.47,-0.0970767,-0.0240022,0.0970767,
4.48,-0.0973119,-0.0230303,0.0973119,
4.49,-0.0975373,-0.022056,0.0975373,
4.5,-0.097753,-0.0210796,0.097753,
4.51,-0.0979589,-0.020101,0.0979589,
4.52,-0.098155,-0.0191204,0.098155,
4.53,-0.0983413,-0.0181379,0.0983413,
4.54,-0.0985178,-0.0171536,0.0985178,
4.55,-0.0986844,-0.0161676,0.0986844,
4.56,-0.0988411,-0.01518,0.0988411,
4.57,-0.098988,-0.0141908,0.098988,
4.58,-0.0991249,-0.0132003,0.0991249,
4.59,-0.099252,-0.0122084,0.099252,
4.6,-0.0993691,-0.0112153,0.0993691,
4.61,-0.0994763,-0.010221,0.0994763,
4.62,-0.0995735,-0.00922576,0.0995735,
4.63,-0.0996608,-0.00822958,0.0996608,
4.64,-0.0997381,-0.00723258,0.0997381,
4.65,-0.0998054,-0.00623485,0.0998054,
4.66,-0.0998628,-0.0052365,0.0998628,
4.67,-0.0999102,-0.00423763,0.0999102,
4.68,-0.0999476,-0.00323833,0.0999476,
4.69,-0.0999749,-0.00223871,0.0999749,
4.7,-0.0999923,-0.00123887,0.0999923,
4.71,-0.0999997,-0.000238898,0.0999997,
4.72,-0.0999971,0.000761095,0.0999971,
4.73,-0.0999845,0.00176101,0.0999845,
4.74,-0.0999619,0.00276075,0.0999619,
4.75,-0.0999293,0.00376022,0.0999293,
4.76,-0.0998867,0.0047593,0.0998867,
4.77,-0.0998341,0.00575792,0.0998341,
4.78,-0.0997715,0.00675595,0.0997715,
4.79,-0.099699,0.00775331,0.099699,
4.8,-0.0996165,0.0087499,0.0996165,
4.81,-0.099524,0.00974561,0.099524,
4.82,-0.0994216,0.0107403,0.0994216,
4.83,-0.0993092,0.011734,0.0993092,
4.84,-0.0991869,0.0127265,0.0991869,
4.85,-0.0990547,0.0137177,0.0990547,
4.86,-0.0989125,0.0147076,0.0989125,
4.87,-0.0987605,0.0156959,0.0987605,
4.88,-0.0985986,0.0166827,0.0985986,
4.89,-0.0984269,0.0176679,0.0984269,
4.9,-0.0982453,0.0186512,0.0982453,
4.91,-0.0980538,0.0196327,0.0980538,
4.92,-0.0978526,0.0206123,0.0978526,
4.93,-0.0976416,0.0215898,0.0976416,
4.94,-0.0974208,0.0225651,0.0974208,
4.95,-0.0971903,0.0235381,0.0971903,
4.96,-0.0969501,0.0245089,0.0969501,
4.97,-0.0967001,0.0254771,0.0967001,
4.98,-0.0964405,0.0264428,0.0964405,
4.99,-0.0961713,0.0274059,0.0961713,
5,-0.0958924,0.0283662,0.0958924,
